,productname,prices,Description,Reviews
116,"vivo X300 (Mist Blue, 512 GB)","₹81,999",12 GB RAM | 512 GB ROM40.74 cm (16.04 cm) Display200MP + 50MP + 50MP | 50MP Front Camera6040 mAh BatteryDimensity 9500 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.7
117,"realme GT 7T (IceSense Blue, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | 32MP Front Camera7000 mAh Li-ion BatteryDimensity 8400-MAX Processorstandard 1-year warranty for the device  and a 6-month warranty for accessories,4.4
118,"vivo X300 (Elite Black, 512 GB)","₹85,999",16 GB RAM | 512 GB ROM40.74 cm (16.04 cm) Display200MP + 50MP + 50MP | 50MP Front Camera6040 mAh BatteryDimensity 9500 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
119,"vivo X300 (Summit Red, 512 GB)","₹85,999",16 GB RAM | 512 GB ROM40.74 cm (16.04 cm) Display200MP + 50MP + 50MP | 50MP Front Camera6040 mAh BatteryDimensity 9500 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
120,"vivo X300 (Summit Red, 512 GB)","₹85,999",16 GB RAM | 512 GB ROM40.74 cm (16.04 cm) Display200MP + 50MP + 50MP | 50MP Front Camera6040 mAh BatteryDimensity 9500 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
121,"Apple iPhone 14 (Midnight, 128 GB)","₹54,900","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
122,"IQOO Neo 10 (Inferno Red, 512 GB)","₹44,990",16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6 months accessories,4.7
123,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)","₹1,00,000",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
124,"Samsung Galaxy S25 5G (Silver Shadow, 256 GB)","₹80,999",12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
125,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)","₹55,999",8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
126,"Samsung Galaxy M55 5G (Light Green, 256 GB)","₹31,580",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic Warranty 1 year for handset and 6 months for accessories.,4
127,"OnePlus 15 5G (Ultra Violet, 256 GB)","₹73,889",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera7300 mAh Battery12 months manufacturer warranty,4.6
128,"Apple iPhone 17 Pro (Cosmic Orange, 512 GB)","₹1,54,900","512 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 48MP | 18MP Front CameraA19 Chip, 6 Core Processor ProcessorApple One (1) Year Limited Warranty",4.7
129,"Samsung Galaxy A56 5G (Awesome Olive, 256 GB)","₹42,990",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
130,"OnePlus 15 5G (Infinite Black, 256 GB)","₹73,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera7300 mAh Battery12 months manufacturer warranty,4.6
131,"Samsung Galaxy S23 FE (Graphite, 128 GB)","₹79,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
132,"Apple iPhone 16 Plus (Teal, 128 GB)","₹79,900","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
133,"OPPO Reno14 5G (Pearl White, 256 GB)","₹39,600",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
134,"realme GT 7T (IceSense Black, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | 32MP Front Camera7000 mAh Li-ion BatteryDimensity 8400-MAX Processorstandard 1-year warranty for the device  and a 6-month warranty for accessories,4.4
135,"vivo V50e 5G (Pearl White, 256 GB)","₹33,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 50MP Front Camera5600 mAh BatteryDimensity 7300 Processor1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,4.4
136,"vivo X300 Pro (Dune Gold, 512 GB)","₹1,09,999",16 GB RAM | 512 GB ROM43.74 cm (17.22 cm) Display50MP + 50MP + 200MP | 50MP Front Camera6510 mAh BatteryDimensity 9500 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.7
137,"vivo X300 Pro (Elite Black, 512 GB)","₹1,09,999",16 GB RAM | 512 GB ROM43.74 cm (17.22 cm) Display50MP + 50MP + 200MP | 50MP Front Camera6510 mAh BatteryDimensity 9500 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.7
138,"IQOO Neo 10 (Inferno Red, 256 GB)","₹40,800",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6  months for accessories,4.5
139,"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
140,"OPPO Reno 12 Pro 5G (Sunset Gold, 256 GB)","₹33,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
141,"realme 16 Pro+ 5G (Master Gold, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.8
